Aboriginal	Aborigine
Abyssinian	Abyssinia
Aeolian	Aeolus
Afghan	Afghanistan
Afghani	Afghanistan
Afghanistani	Afghanistan
African	Africa
Albanian	Albania
Aleutian	Aleut
Algerian	Algeria
American	America
Andorran	Andorra
Angolan	Angola
Arabic	Arab
Arawakan	Arawak
Argentine	Argentina
Argentinian	Argentina
Armenian	Armenia
Aruban	Aruba
Asian	Asia
Athenian	Athens
Australian	Australia
Austrian	Austria
Azerbaijani	Azerbaijan
Bahamian	Bahamas
Bahrainian	Bahrain
Bangladeshi	Bangladesh
Basotho	Lesotho
Belarusian	Belarus
Belgian	Belgium
Bhutanese	Bhutan
Bohemian	Bohemia
Bolivian	Bolivia
Bosnian	Bosnia and Herzegovina
Brazilian	Brazil
British	Great Britain
Bulgarian	Bulgaria
Calabrian	Calabria
Cambodian	Cambodia
Cameroonian	Cameroon
Canadian	Canada
Cantonese	Canton
Caucasian	Caucasia
Celtic	Celt
Central American	Central America
Central European	Central Europe
Ceylonese	Ceylon
Chadian	Chad
Chechen	Chechnya
Chilean	Chile
Chinese	China
Colombian	Colombia
Columbian	Columbus
Congolese	Congo
Coptic	Copt
Costa Rican	Costa Rica
Croatian	Croatia
Cuban	Cuba
Cypriot	Cyprus
Czech	Czechoslovakia
Czechoslovak	Czechoslovakia
Czechoslovakian	Czechoslovakia
Danish	Denmark
Dutch	Netherlands
East German	East Germany
East Pakistani	East Pakistan
Eastern	East
Eastern European	Eastern Europe
Ecuadorian	Ecuador
Egyptian	Egypt
El Salvadoran	El Salvador
English	England
Equatorial Guinean	Equatorial Guinea
Eritrean	Eritrea
Estonian	Estonia
Ethiopian	Ethiopia
European	Europe
Far Eastern	Far East
Faroese	Faroe Islands
Fijian	Fiji
Filipino	Philippines
Finnish	Finland
Franciscan	Francis of Assisi
French	France
Gabonese	Gabon
Gallic	Gaul
Galwegian	Galloway
Gambian	Gambia
Georgian	Georgia
German	Germany
Ghanaian	Ghana
Gothic	Goth
Greek	Greece
Guatemalan	Guatemala
Guinean	Guinea
Guyanan	Guyana
Haitian	Haiti
Hawaiian	Hawaii
Hebraic	Hebrew
Himalayan	Himalaya
Hindu	Hinduism
Honduran	Honduras
Hungarian	Hungary
Icelander	Iceland
Icelandic	Iceland
Indonesian	Indonesia
Iranian	Iran
Iraqi	Iraq
Irish	Ireland
Islamic	Islam
Israeli	Israel
Italian	Italy
Jamaican	Jamaica
Japanese	Japan
Jesuitical	Jesuit
Jewish	Jew
Jewish	Jew
Jewish	Judaism
Jordanian	Jordan
Jovian	Jupiter
Judeo-Christian	Christianity
Judeo-Christian	Judaism
Kashmiri	Kashmir
Kazakh	Kazakhstan
Kazakhstani	Kazakhstan
Kenyan	Kenya
Kenyian	Kenya
Kirghizian	Kirghistan
Korean	Korea
Kosovar	Kosovo
Kurdish	Kurdistan
Kuwaiti	Kuwait
Kyrgyz	Kyrgyzstan
Kyrgyzstani	Kyrgyzstan
Lao	Laos
Laotian	Laos
Latin	Latium
Latin American	Latin America
Latvian	Latvia
Lebanese	Lebanon
Levantine	Levant
Liberian	Liberia
Libyan	Libya
Liechtensteiner	Liechtenstein
Lithuanian	Lithuania
Luxembourger	Luxembourg
Macedonian	Macedonia
